error	reads	squared_error
2.740157480314309e-4	300	7.508463016922463e-8
-5.098425196847778e-5	400	2.5993939487852303e-9
-1.0598425196850503e-4	500	1.1232661665323561e-8
-5.9317585301865705e-5	600	3.5185759260441145e-9
1.1687289088857522e-4	700	1.3659272624652809e-8
-7.598425196853054e-5	800	5.7736065472171365e-9
4.068241469812328e-5	900	1.6550588656700772e-9
3.340157480314909e-4	1000	1.1156651993303644e-7
4.140157480314599e-4	1000	1.714090396180493e-7
2.1401574803148193e-4	2000	4.5802740405474764e-8
-5.5984251968510534e-5	3000	3.1342364684736755e-9
-2.9098425196849576e-4	4000	8.467183489366502e-8
2.0001574803152344e-4	5000	4.000629946060987e-8
-9.842519684832851e-7	6000	9.687519374632218e-13
-1.3312710911139725e-4	7000	1.772282718035787e-8
-3.484251968499663e-6	8000	1.2140011779993777e-11
4.290463692036006e-5	9000	1.8408078692679236e-9
1.230157480315297e-4	10000	1.5132874263756805e-8
0.012727272727272698	1	1.619834710743794e-4
0.012727272727272698	2	1.619834710743794e-4
-0.0072727272727273196	3	5.2892561983471756e-5
-0.002272727272727315	4	5.16528925619854e-6
0.006727272727272693	5	4.5256198347106977e-5
0.011060606060605993	6	1.2233700642791403e-4
0.0012987012987012436	7	1.6866250632482967e-6
-0.0010227272727273418	8	1.0459710743803065e-6
-0.006161616161616146	9	3.796551372308928e-5
-0.002272727272727315	10	5.16528925619854e-6
-0.00827272727272732	10	6.84380165289264e-5
-0.003272727272727316	20	1.0710743801653176e-5
-0.0019393939393939075	30	3.7612488521578194e-6
2.2727272727274261e-4	40	5.1652892561990444e-8
-0.003672727272727272	50	1.3488925619834705e-5
-9.393939393940176e-4	60	8.824609733702112e-7
0.0018701298701299107	70	3.4973857311521167e-6
-6.477272727273276e-4	80	4.1955061983478177e-7
6.161616161616257e-4	90	3.796551372309065e-7
-1.7272727272732435e-4	100	2.983471074381949e-8
8.272727272726765e-4	100	6.843801652891723e-7
3.272727272727316e-4	200	1.0710743801653176e-7
-3.3939393939397267e-4	300	1.1518824609735959e-7
-6.227272727272748e-4	400	3.8778925619834966e-7
-4.3272727272736233e-4	500	1.8725289256206102e-7
-8.93939393940002e-5	600	7.991276400378181e-9
-2.584415584415689e-4	700	6.679203912970687e-8
-6.727272727272693e-4	800	4.5256198347106977e-7
4.7171717171712313e-4	900	2.2251709009280182e-7
3.727272727271913e-5	1000	1.3892561983465005e-9
4.072727272727006e-4	1000	1.6587107438014356e-7
-9.127272727272873e-4	2000	8.330710743801918e-7
-3.3939393939397267e-4	3000	1.1518824609735959e-7
2.8227272727265884e-4	4000	7.967789256194484e-8
1.512727272726666e-4	5000	2.2883438016510572e-8
-2.9393939393940194e-5	6000	8.640036730946292e-10
-5.129870129871872e-5	7000	2.6315567549351657e-9
-1.1647727272734443e-4	8000	1.3566955062000174e-8
6.282828282822006e-5	9000	3.947393123142812e-9
2.152727272727306e-4	10000	4.634234710743945e-8
0.01200000000000001	1	1.4400000000000025e-4
-0.018000000000000016	2	3.2400000000000056e-4
0.005333333333333301	3	2.8444444444444102e-5
-0.013000000000000012	4	1.690000000000003e-4
-0.02399999999999991	5	5.759999999999957e-4
-0.0013333333333332975	6	1.7777777777776822e-6
0.0020000000000000018	7	4.0000000000000074e-6
-0.00924999999999998	8	8.556249999999963e-5
-0.01911111111111108	9	3.6523456790123334e-4
-0.017000000000000015	10	2.890000000000005e-4
-0.0020000000000000018	10	4.0000000000000074e-6
-0.007000000000000006	20	4.9000000000000087e-5
0.012666666666666715	30	1.6044444444444567e-4
5.00000000000056e-4	40	2.5000000000005595e-7
-0.006000000000000005	50	3.600000000000006e-5
3.3333333333340764e-4	60	1.1111111111116065e-7
0.003142857142857114	70	9.877551020407981e-6
0.0026249999999999885	80	6.89062499999994e-6
8.88888888888939e-4	90	7.901234567902126e-7
-0.0042999999999999705	100	1.8489999999999747e-5
0.0011999999999999789	100	1.4399999999999494e-6
0.0013999999999999568	200	1.959999999999879e-6
-0.0023333333333332984	300	5.444444444444281e-6
4.250000000000087e-4	400	1.806250000000074e-7
